,index,channel_subCount,channel_viewCount,title_on_youtube,up_time,log_view,y
3630,3630,37502,98824247,bob marley & the wailers - one love / people get ready,1311,14.781543762323086,0
3058,3058,5620,3893550,one direction - perfect (live at gma),1125,13.054422809194879,0
1498,1498,120,374417,lady gaga - alejandro (dave aude remix),3110,12.274861496206295,1
1749,1749,868,125331,chula eres tu,101,7.897296472595885,1
251,251,53200,23258526,sir sly - altar,563,12.368671821808089,1
1045,1045,1085,194824,"dance theatre of harlem 2017 new york season ""high above"" with india arie",633,11.140933816919603,1
25,25,13320,8112794,saltnpepa feat. en vogue - whatta man (1993),650,10.095140436758967,1
1816,1816,821,391991,eterno amor -  rossy war,814,7.854381210652365,1
264,264,213,97770,techno animal - bass concussion,1135,8.596743470174246,1
1366,1366,182,45447,pleasure symbols - underneath your skin (official),851,10.724654087310103,1
1219,1219,122773,10164936,in the name of love - martin garrix & bebe rexha cover,822,12.635316127301419,1
291,291,1462,593717,palace intrigue,466,8.031710375322042,1
1891,1891,2601,247230,airways - mate,311,10.545999117127494,1
2454,2454,1174,5465923,nirvana - plateau,3628,15.415193040550772,0
647,647,5471,8995808,rock my world (little country girl),618,10.365175451740571,1
3741,3741,1361,4093904,"leon bridges ""shine""",1248,13.950391913978052,0
19,19,1831964,403981811,juice wrld - hurt me (official audio),208,14.7403454840298,1
440,440,80105,45884436,vince chong - biarkan,2091,9.842197084093021,1
1978,1978,1623747,818877805,bomba estéreo - feelin' (live on kexp),3320,14.475129393060504,0
3256,3256,1819164,758874576,bruno mars 'grenade' live billboard studio session at mophonics studios ny,2978,18.050582639720094,0
938,938,103,123365,feliz navidad,393,4.356708826689592,1
923,923,4466,152962,un gran vacío,1273,7.437206366871292,1
232,232,1323,345203,now that we've found love,667,8.884610231886873,1
3818,3818,565828,39810875,jr del hv larry hernandez,462,13.794630069984919,0
3115,3115,117389,58246458,"maranda curtis - ""god almighty""",539,11.897834061682993,0
3788,3788,0,3695515,natalie grant - king of the world,1159,14.624653845240305,0
2561,2561,29291,61715025,muirsheen durkin (1968),4312,13.605558366817728,0
758,758,37037,7041953,catey shaw - tell everyone,1131,11.15540730848484,1
3722,3722,1255,2908127,maroon 5 - shiver (dj quik remix),3652,9.751210117090551,0
2993,2993,61752,69426414,stokley - be with u from the album introducing stokely,537,10.232899207525533,0
689,689,30012,29587243,astronauta de tus lunares,772,12.699466209982118,1
167,167,3673981,1414732900,lorde - writer in the dark (vevo x lorde),488,14.458648882050898,1
413,413,409879,462715860,"cristian castro - adiós amor, te vas",115,12.388794122345455,1
1126,1126,5279,757952,cautious clay - cold war (acoustic),312,10.612286601034295,1
971,971,158,109572,girls who play guitar,1223,7.273092595999522,1
207,207,556,143735,magneta lane - the constant lover,3322,11.147872667473326,1
2875,2875,2098,870911,i'm a wanted man,1023,12.193139370118274,0
3200,3200,52280,33076055,tush,1193,12.251963372295261,0
